Mouse,Birth Date,Coat Colour,Earclip,Gender,Colony Prefix,Colony Name,Genetic Background,Cohort(s),Genotype,Weighing Date,Weight,Units,QC Status,QC Comments,Recorded By,Recorded On
AHDT5.1a,22-Nov-16,Black,1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,27-Feb-17,27.8,g,0,,WilliaJ,27-Feb-17
AHDT5.1b,22-Nov-16,Black,1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,27-Feb-17,25.5,g,0,,WilliaJ,27-Feb-17
AHDT5.1c,22-Nov-16,Black,1L 1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,27-Feb-17,24.1,g,0,,WilliaJ,27-Feb-17
AHDT5.1d,22-Nov-16,Black,2R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,27-Feb-17,26.5,g,0,,WilliaJ,27-Feb-17
AHDT5.1f,22-Nov-16,Black,2R 1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,27-Feb-17,26.8,g,0,,WilliaJ,27-Feb-17
AHDT5.1h,22-Nov-16,Black,1L,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,27-Feb-17,22.2,g,0,,WilliaJ,27-Feb-17
AHDT5.1i,22-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/+ Min:-ve,27-Feb-17,21.8,g,0,,WilliaJ,27-Feb-17
AHDT5.1m,22-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,27-Feb-17,21.4,g,0,,WilliaJ,27-Feb-17
AHDT5.1n,22-Nov-16,Black,2R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,27-Feb-17,20.1,g,0,,WilliaJ,27-Feb-17
AHDT5.1a,22-Nov-16,Black,1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,01-Mar-17,28,g,0,,WilliaJ,01-Mar-17
AHDT5.1b,22-Nov-16,Black,1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,01-Mar-17,25.9,g,0,,WilliaJ,01-Mar-17
AHDT5.1c,22-Nov-16,Black,1L 1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,01-Mar-17,24,g,0,,WilliaJ,01-Mar-17
AHDT5.1d,22-Nov-16,Black,2R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,01-Mar-17,26.8,g,0,,WilliaJ,01-Mar-17
AHDT5.1f,22-Nov-16,Black,2R 1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,01-Mar-17,26.4,g,0,,WilliaJ,01-Mar-17
AHDT5.1h,22-Nov-16,Black,1L,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,01-Mar-17,22.4,g,0,,WilliaJ,01-Mar-17
AHDT5.1i,22-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/+ Min:-ve,01-Mar-17,21.7,g,0,,WilliaJ,01-Mar-17
AHDT5.1m,22-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,01-Mar-17,22.2,g,0,,WilliaJ,01-Mar-17
AHDT5.1n,22-Nov-16,Black,2R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,01-Mar-17,20.4,g,0,,WilliaJ,01-Mar-17
AHDT5.1a,22-Nov-16,Black,1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,03-Mar-17,27.8,g,0,,WilliaJ,03-Mar-17
AHDT5.1b,22-Nov-16,Black,1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,03-Mar-17,25.8,g,0,,WilliaJ,03-Mar-17
AHDT5.1c,22-Nov-16,Black,1L 1R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,03-Mar-17,24.1,g,0,,WilliaJ,03-Mar-17
AHDT5.1d,22-Nov-16,Black,2R,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,03-Mar-17,26.7,g,0,,WilliaJ,03-Mar-17
AHDT5.1f,22-Nov-16,Black,2R 1L,Male,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:+ve,03-Mar-17,26.4,g,0,,WilliaJ,03-Mar-17
AHDT5.1h,22-Nov-16,Black,1L,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,03-Mar-17,23.4,g,0,,WilliaJ,03-Mar-17
AHDT5.1i,22-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/+ Min:-ve,03-Mar-17,22.3,g,0,,WilliaJ,03-Mar-17
AHDT5.1m,22-Nov-16,Black,1L 1R,Female,AHDT,Btnl1-B12 x APCMin,"C57BL/6J,Other (See Colony Notes)","519960 P15 13.12.2016,NROB Btnl1 x APCmin gut roll cohort 1",Btnl1-B12/Btnl1-B12 Min:-ve,03-Mar-17,21.7,g,0,,WilliaJ,03-Mar-17
